,titles,authors,dates
1641, [Intro to brain-like-AGI safety] 14. Controlled AGIΩ,Steven Byrnes,4mo
1642,"ProjectLawful.com: Eliezer's latest story, past 1M words",Eliezer Yudkowsky,4mo
1643,An Inside View of AI Alignment,Ansh Radhakrishnan,4mo
1644,Fighting in various places for a really long time,KatjaGrace,4mo
1645,Stuff I might do if I had covid,KatjaGrace,4mo
1646,Crises Don't Need Your Software,GabrielExists,4mo
1647,The limits of AI safety via debateΩ,Marius Hobbhahn,4mo
1648,Examining Armstrong's category of generalized models,Morgan_Rogers,5mo
1649,Dath Ilani Rule of Law,David Udell,5mo
1650,AI safety should be made more accessible using non text-based media,Massimog,5mo
1651,LessWrong Now Has Dark Mode,jimrandomh,5mo
1652,Ceiling Fan Air Filter,jefftk,4mo
1653,Conditions for mathematical equivalence of Stochastic Gradient Descent and Natural SelectionΩ,Oliver Sourbut,5mo
1654,AI Alignment YouTube Playlists,"jacquesthibs, remember",5mo
1655,When is AI safety research harmful?,NathanBarnard,5mo
1656,A Bird's Eye View of the ML Field [Pragmatic AI Safety #2]Ω,"Dan Hendrycks, ThomasW",5mo
1657,Introduction to Pragmatic AI Safety [Pragmatic AI Safety #1]Ω,"Dan Hendrycks, ThomasW",5mo
1658,Thought experiment: Imagine you were assigned to help a random person in your community become as peaceful and joyful as the most peaceful and joyful person you'd ever met. What would you try?Q,nonzerosum,5mo
1659,Updating Utility FunctionsΩ,"JustinShovelain, Joar Skalse",5mo
1660,Transcripts of interviews with AI researchers,Vael Gates,5mo
1661,"A reason behind bad systems, and moral implications of seeing this reason",Edward Pascal,5mo
1662,An Alternative Interpretation of Physics,dadadarren,5mo
1663,Jobs: Help scale up LM alignment research at NYUΩ,Sam Bowman,5mo
1664,Microphone on Electric Mandolin,jefftk,5mo
1665,Willing to be your music mentor in exchange for video editing mentorshipQ,monkymind,5mo
1666,[Scribble] Bad Reasons Behind Different Systems and a Story with No Good Moral,Rana Dexsin,5mo
1667,What is the best day to celebrate Smallpox Eradication Day?Q,Orborde,5mo
1668,"Ion Implantation: Theory, Equipment, Process, Alternatives",ethanmorse,5mo
1669,Demonstrating MWI by interfering human simulations,Yair Halberstadt,5mo
1670,Notes from a conversation with Ing. Agr. Adriana Balzarini,Pablo Repetto,5mo
1671,Long-term Short-term Happiness,Matt Goldwater,5mo
1672,Elementary Infra-BayesianismΩ,Jan,5mo
1673,Video and Transcript of Presentation on Existential Risk from Power-Seeking AI,Joe Carlsmith,5mo
1674,Algorithmic formalization of FDT?Q,shminux,5mo
1675,Best open-source textbooks (goal: make them collaborative)?Q,shuffled-cantaloupe,5mo
1676,Long COVID risk: How to maintain an up to date risk assessment so we can go back to normal life?Q,"Sameerishere, Zvi",5mo
1677,Experience on Meloxicam,jefftk,5mo
1678,What does Functional Decision Theory say to do in imperfect Newcomb situations?Q,Daniel_Eth,5mo
1679,The glorious energy boost I've gotten by abstaining from coffee,Sameerishere,5mo
1680,Sealed predictions thread,Zach Stein-Perlman,5mo
1681,Minimum Viable Alignment,HunterJay,5mo
1682,[Linkpost] diffusion magnetizes manifolds (DALL-E 2 intuition building),Paul Bricman,5mo
1683,scipy.optimize.curve_fit Is Awesome,niplav,5mo
1684,"Quote request: ""if even the Sun requires proof""Q",Smaug123,5mo
1685,"But What's Your *New Alignment Insight,* out of a Future-Textbook Paragraph?",David Udell,5mo
1686,D&D.Sci Divination: Nine Black Doves,aphyer,5mo
1687,"Is there a convenient way to make ""sealed"" predictions?Q","Daniel Kokotajlo, Quintin Pope",5mo
1688,Hard evidence that mild COVID cases frequently reduce intelligence,Trevor1,5mo
1689,"Innovation, Stagnation, and Paratrooper Operations",Davis_Kingsley,5mo
1690,Upgrading Imagination: The Promise Of DALL-E 2 As A Tool For Thought,Tharin,5mo
1691,The case for becoming a black-box investigator of language modelsΩ,Buck,4mo
1692,Open Problems in Negative Side Effect MinimizationΩ,"Fabian Schimpf, Lukas Fluri",5mo
1693,Your Utility Function is Your Utility Function,David Udell,5mo
1694,Getting GPT-3 to predict Metaculus questions,MathiasKB,5mo
1695,Moral Illusions,Martin Sustrik,5mo
1696,Contra Dance Mask Policy,jefftk,5mo
1697,Apply to the second iteration of the ML for Alignment Bootcamp (MLAB 2) in Berkeley [Aug 15 - Fri Sept 2]Ω,Buck,5mo
1698,"Write posts business-like, not story-like",shminux,5mo
1699,Ethan Caballero on Private Scaling Progress,Michaël Trazzi,5mo
1700,Frankenstein: A Modern AGI,Sable,5mo
1701,"Starting too many projects, finishing none",rockthecasbah,5mo
1702,Repeal the Foreign Dredge Act of 1906,Zvi,5mo
1703,What We Owe the Past,Austin Chen,5mo
1704,An easy win for hard decisions,Alex Lawsen ,5mo
1705,Deriving Conditional Expected Utility from Pareto-Efficient Decisions,Thomas Kwa,5mo
1706,High-stakes alignment via adversarial training [Redwood Research report]Ω,"DMZ, LawrenceC, Nate Thomas",5mo
1707,Chording Bass,jefftk,5mo
1708,Covid 5/5/22: A Lack of Care,Zvi,5mo
1709,What is bias in alignment terms?Q,Jonas Kgomo,5mo
1710,How to balance between process and outcome?Q,Nathan Helm-Burger,5mo
1711,What is a Glowfic?,Wes F,5mo
1712,What are the best examples of catastrophic resource shortages?,jasoncrawford,5mo
1713,[Book review] No nonsense meditation,Valdes,5mo
1714,[Book review] The anxiety toolkit,Valdes,5mo
1715,[Book review] Getting things done,Valdes,5mo
1716,[Book review] Atomic habits,Valdes,5mo
1717,Improving productivity and wellbeing,Valdes,5mo
1718,Negotiating Up and Down the Simulation Hierarchy: Why We Might Survive the Unaligned Singularity,David Udell,5mo
1719,Steer the Sun?Q,Shay,5mo
1720,What Was Your Best / Most Successful DALL-E 2 Prompt?Q,Evidential,5mo
1721,Most problems don't differ dramatically in tractability (under certain assumptions),Thomas Kwa,5mo
1722,Introducing the ML Safety Scholars ProgramΩ,"Dan Hendrycks, ThomasW, Mantas Mazeika, Oliver Zhang, Sidney Hough, Kevin Liu",5mo
1723,Various Alignment Strategies (and how likely they are to work),Logan Zoellner,5mo
1724,Does the “ugh field” phenomenon sometimes occur strongly enough to affect immediate sensory processing?Q,Rana Dexsin,5mo
1725,Why humans don’t learn to not recognize danger?Q,Joachim Bartosik,5mo
1726,What would be the impact of cheap energy and storage?Q,Yair Halberstadt,5mo
1727,Monthly Shorts 4/2022,Celer,5mo
1728,Notes on Empathy,David Gross,5mo
1729,Is evolutionary influence the mesa objective that we're interested in?,David Johnston,5mo
1730,Looking for someone to run an online seminar on human learningQ,Isaac King,5mo
1731,Home Antigen Tests Aren’t Useful For Covid Screening,Elizabeth,5mo
1732,Open & Welcome Thread - May 2022 ,Ruby,5mo
1733,Information security considerations for AI and the long term future,"Jeffrey Ladish, lennart",5mo
1734,My thoughts on nanotechnology strategy research as an EA cause area,Ben_Snodin,5mo
1735,What Would It Cost to Build a World-Class Dredging Vessel in America?Q,"Zvi, AllAmericanBreakfast",5mo
1736,So has AI conquered Bridge ?,Ponder Stibbons,5mo
1737,Proposal for EA fund about x-risks,Dmitry Savishchev,5mo
1738,Squires,lsusr,5mo
1739,[Linkpost] A conceptual framework for consciousness,Gunnar_Zarncke,5mo
1740,What DALL-E 2 can and cannot do,Swimmer963,4mo
1741,Predicting for charity,Austin Chen,5mo
1742,Is it desirable for the first AGI to be conscious?Q,Raphaël S,5mo
1743,ELK shaving,Miss Aligned AI,5mo
1744,[Linkpost] Value extraction via language model abduction,Paul Bricman,5mo
1745,Maybe I 100% Know Something. But I Probably Won’t Be Able To 100% Explain It,Matt Goldwater,5mo
1746,Six Months of ROSE,Evenflair,5mo
1747,How confident are we that there are no Extremely Obvious Aliens?Q,Logan Zoellner,5mo
1748,How to be skeptical about meditation/Buddhism,Viliam,5mo
1749,My Approach to Non-Literal Communication,Isaac King,5mo
1750,Narrative Syncing,AnnaSalamon,5mo
1751,"Less Wrong Community Weekend 2022, open for application!",UnplannedCauliflower,5mo
1752,One master. One apprentice.,lsusr,5mo
1753,Shared Car: One Year In,jefftk,5mo
1754,What is the solution to the Alignment problem?,Algon,5mo
1755,Why hasn't deep learning generated significant economic value yet?Q,"Alex_Altair, gwern",5mo
1756,Nuclear Energy - Good but not the silver bullet we were hoping for,Marius Hobbhahn,5mo
1757,Quick Thoughts on A.I. Governance,NicholasKross,5mo
1758,Discussion on Thomas Philippon's paper on TFP growth being linear,Arjun Yadav,5mo
1759,We transhumanists want immortality... But is it really possible?,superads91,5mo
1760,Note-Taking without Hidden Messages,Hoagy,5mo
1761,How good is spending?Q,tryactions,5mo
1762,[Linkpost] New multi-modal Deepmind model fusing Chinchilla with images and videos,p.b.,5mo
1763,Salvage Epistemology,jimrandomh,5mo
1764,Learning the smooth priorΩ,"Geoffrey Irving, Rohin Shah, evhub",5mo
1765,Do FDT (or similar) recommend reparations?Q,David Scott Krueger (formerly: capybaralet),5mo
1766,Saying no to the Appleman,Johannes C. Mayer,5mo
1767,Prize for Alignment Research TasksΩ,"stuhlmueller, William_S",5mo
1768,Increasing Demandingness in EA,jefftk,5mo
1769,"What is a training ""step"" vs. ""episode"" in machine learning?Q",Evan R. Murphy,5mo
1770,Facts Matter,mrdlm,5mo
1771,Two Prosocial Rejection Norms,Emrik,5mo
1772,Dath Ilan vs. Sid Meier's Alpha Centauri: Pareto Improvements,David Udell,5mo
1773,A Parable Of Explainability,George3d6,5mo
1774,3-bit filters,iivonen,5mo
1775,Doom sooner,Flaglandbase,5mo
1776,How Might an Alignment Attractor Look like?,shminux,5mo
1777,Virtue signaling is sometimes the best or the only metric we have,Holly_Elmore,5mo
1778,The Gospel of Martin Luther,lsusr,5mo
1779,Slides: Potential Risks From Advanced AI,Aryeh Englander,5mo
1780,Is alignment possible?Q,Shay,5mo
1781,Keep your protos in one repo,RobertM,5mo
1782,"Covid 4/28/22: Take My Paxlovid, Please",Zvi,5mo
1783,Jaan Tallinn's 2021 Philanthropy Overview,jaan,5mo
1784,Letter to my Squire,lsusr,5mo
1785,The Speed + Simplicity Prior is probably anti-deceptiveΩ,Yonadav Shavit,5mo
1786,If you’re very optimistic about ELK then you should be optimistic about outer alignment,Sam Marks,5mo
1787,The Game of Masks,Slimepriestess,5mo
1788,Law-Following AI 3: Lawless AI Agents Undermine Stabilizing AgreementsΩ,Cullen_OKeefe,5mo
1789,Law-Following AI 2: Intent Alignment + Superintelligence → Lawless AI (By Default)Ω,Cullen_OKeefe,5mo
1790,Law-Following AI 1: Sequence Introduction and StructureΩ,Cullen_OKeefe,5mo
1791,[Intro to brain-like-AGI safety] 13. Symbol grounding & human social instinctsΩ,Steven Byrnes,5mo
1792,[Link] Evidence of Fabricated Data in a Vitamin C trial by Paul E Marik et al in CHEST,Kenny,5mo
1793,SERI ML Alignment Theory Scholars Program 2022Ω,"Ryan Kidd, Victor Warlop, Oliver Zhang",5mo
1794,EU Maximizing in a Gloomy World,David Udell,5mo
1795,AI Alternative Futures: Scenario Mapping Artificial Intelligence Risk - Request for Participation (*Closed*) ,Kakili,5mo
1796,The case for turning glowfic into Sequences,Thomas Kwa,5mo
1797,Why Copilot Accelerates TimelinesΩ,Michaël Trazzi,5mo
1798,Universals of Morality: Toward Human-Centric Communication Platforms,scafaria,5mo
1799,Continental Philosophy as Undergraduate Mathematics,Jan,5mo
1800,dalle2 comments,nostalgebraist,5mo
1801,Make a neural network in ~10 minutes,Arjun Yadav,5mo
1802,Framings of Deceptive AlignmentΩ,peterbarnett,5mo
1803,[$20K in Prizes] AI Safety Arguments CompetitionΩ,"Dan Hendrycks, Kevin Liu, Oliver Zhang, ThomasW, Sidney Hough",5mo
1804,Why pessimism sounds smart,jasoncrawford,5mo
1805,What is being improved in recursive self improvement?Q,Conor Sullivan,5mo
1806,21 on 21,Amir Bolous,5mo
1807,[Request for Distillation] Coherence of Distributed Decisions  With Different Inputs Implies ConditioningΩ,johnswentworth,5mo
1808,Quadratic voting with automatic collusion?Q,GuySrinivasan,5mo
1809,Intuitions about solving hard problemsΩ,Richard_Ngo,5mo
1810,Key questions about artificial sentience: an opinionated guide,Robbo,5mo
1811,On Tables and Happiness,Alexander,5mo
1812,Rationalist Inspired Coming-of-age RitualsQ,iceplant,5mo
1813,Ukraine Post #11: Longer Term Predictions,Zvi,5mo
1814, Why I'm Not a Utilitarian in Modern America,DanB,5mo
1815,Examining Evolution as an Upper Bound for AGI Timelines,meanderingmoose,5mo
1816,AI safety raising awareness resources bleg,iivonen,5mo
1817,I Think Therefore Someone Is Or Was?,Matt Goldwater,5mo
1818,Anyone Familiar with Ground News?Q,jmh,5mo
1819,Slack gives you space to notice/reflect on subtle things,Raemon,5mo
1820,Calling for Student Submissions: AI Safety Distillation Contest,Aris,5mo
1821,Rationality Dojo,lsusr,5mo
1822,Where can I publish an article containing a list of intellectuals who publicly admitted their mistakes once proven wrong?Q,Hashem ElAssad,5mo
1823,What Is a Major Chord?,jefftk,5mo
1824,DeletionQ,011eNigma235,5mo
1825,Re: So You Want to Be a Dharma Teacher,lsusr,5mo
1826,Ineffective Altruism,lsusr,5mo
1827,Has anyone written a reductionist theory of creativity?Q,Grant Demaree,5mo
1828,Progress Report 5: tying it together,Nathan Helm-Burger,5mo
1829,[ASoT] Consequentialist models as a superset of mesaoptimizersΩ,leogao,5mo
1830,Report likelihood ratios,Ege Erdil,5mo
1831,Skilling-up in ML Engineering for Alignment: request for comments,"TheMcDouglas, Jamie Bernardi",5mo
1832,Long Review: Economic Hierarchies,JohnBuridan,5mo
1833,PD-alikes in two dimensions,philh,5mo
1834,The Consistency Mystery,Flaglandbase,5mo
1835,Wanting to change what you wantQ,Mithrandir,5mo
1836,Replicating and extending the grabby aliens model,Tristan Cook,5mo
1837,The New Right appears to be on the rise for better or worse,Chris_Leong,5mo
1838,Mesa-utility functions might not be purely proxy goals,Thomas Kwa,5mo
1839,Why “progress studies” is interdisciplinary,jasoncrawford,5mo
1840,On Successful Communication Across a Wide Inferential Distance,Mahdi Complex,5mo
1841,Should I buy roofies from the darknet?,Malmesbury,5mo
1842,(When) do high-dimensional spaces have linear paths down to local minima?Q,Thomas Kwa,5mo
1843,All I Know is that I Know Nothing,lsusr,5mo
1844,Unity of Doctrine vs Unity of Method in Philosophy,JonathanErhardt,5mo
1845,Humanity as an entity: An alternative to Coherent Extrapolated Volition,ZT5,5mo
1846,AI Will Multiply,harsimony,5mo
1847,Infra-TopologyΩ,Diffractor,5mo
1848,Infra-MiscellaneaΩ,Diffractor,5mo
1849,Instrumental Convergence To Offer Hope?,michael_mjd,5mo
1850,China Covid #2,Zvi,5mo
1851,The Fetishization of Dystopia,john yardsale,5mo
1852,April was weird,lsusr,5mo
1853,Will/Has the Russia-Ukraine war been a tipping point for the shift from oil energy?Q,jmh,5mo
1854,Distributed blind review site for papers,Jonas Kgomo,5mo
1855,Preregistration: Air Conditioner Test,johnswentworth,5mo
1856,Are smart people's personal experiences biased against general intelligence?,tailcalled,5mo
1857,My Terrible Experience with Terror,monkymind,5mo
1858,THE GOLDEN RULE; What can we learn from it?,Rami Rustom,5mo
1859,Choice := Anthropics uncertainty? And potential implications for agencyQ,Antoine de Scorraille,5mo
1860,Reflections on My Own Missing Mood,Conor Sullivan,5mo
1861,Understanding the Merging of Opinions with Increasing Information theorem,ViktoriaMalyasova,5mo
1862,"For every choice of AGI difficulty, conditioning on gradual take-off implies shorter timelines.Ω",Francis Rhys Ward,5mo
1863,When is positive self-talk not worth it due to self-delusion?Q,"Jack R, romeostevensit",5mo
1864,I Caught Covid And All I Got Was This Lousy Ambiguous Data,Elizabeth,5mo
1865,Covid 4/21/22: Variants Working Overtime,Zvi,5mo
1866,When Can You Use a Travel Adapter?,jefftk,5mo
1867,Can GPT-N help us?Q,zfurman,5mo
1868,"Is growth linear, not exponential?",jasoncrawford,5mo
1869,How to place a bet on the end of the world,AllAmericanBreakfast,5mo
1870,"If everything is genetic, then nothing is genetic - Understanding the phenotypic null hypothesis",tailcalled,5mo
1871,Axis oriented programming,Donald Hobson,5mo
1872,[Intro to brain-like-AGI safety] 12. Two paths forward: “Controlled AGI” and “Social-instinct AGI”Ω,Steven Byrnes,5mo
1873,GPT-3 and concept extrapolationΩ,Stuart_Armstrong,5mo
1874,"A very quick analogy regarding ""opinions""",Magnus,5mo
1875,Why No *Interesting* Unaligned Singularity?,David Udell,5mo
1876,Judge Overturns Transportation Mask Mandate,Zvi,5mo
1877,Another argument that you will let the AI out of the box,Garrett Baker,5mo
1878,“Pivotal Act” Intentions: Negative Consequences and Fallacious ArgumentsΩ,Andrew_Critch,5mo
1879,Deceptive Agents are a Good Way to Do Things,David Udell,5mo
1880,The Scale Problem in AI,tailcalled,5mo
1881,Fixed points and free will,Ege Erdil,5mo
1882,The two missing core reasons why aligning at-least-partially superhuman AGI is hardQ,Joel Burget,5mo
1883,Three useful types of akrasia,Dambi,5mo
1884,"The internet makes it easier to cooperate, that’s the problem",David Hugh-Jones,5mo
1885,Concept extrapolation: key postsΩ,Stuart_Armstrong,5mo
1886,[Closed] Hiring a mathematician to work on the learning-theoretic AI alignment agenda,Vanessa Kosoy,5mo
1887,"What's the Relationship Between ""Human Values"" and the Brain's Reward System?Q","interstice, Quintin Pope",5mo
1888,Limitations of Laplace’s rule of succession,Tom Davidson,5mo
1889,Clarification on Definition of AGIQ,stanislaw,5mo
1890,How does the world look like 10 years after we have deployed an aligned AGI?Q,mukashi,5mo
1891,Fundamental Uncertainty: Chapter 2 - Why do words have meaning?,G Gordon Worley III,5mo
1892,Ensembling the greedy doctor problem,Ryan Kidd,5mo
1893,Mental Health and the Alignment Problem: A Compilation of Resources,Chris Scammell,5mo
1894,"Is ""Control"" of a Superintelligence Possible?",Mahdi Complex,5mo
1895,Are deference games a thing?,Daniel Kokotajlo,5mo
1896,Don't be afraid of the thousand-year-old vampire,Ulisse Mini,5mo
1897,Code Generation as an AI risk setting,Not Relevant,5mo
1898,Stupid Reasons to Have More Kids,JohnBuridan,5mo
1899,Org announcement: [AC]RC,Vivek Hebbar,5mo
1900,Fuck Your Miracle Year,rogersbacon,5mo
1901,What is causality to an evidential decision theorist?,paulfchristiano,5mo
1902,Learning as closing feedback loops,ambigram,5mo
1903,Alignment and Deep Learning,Aiyen,5mo
1904,Modect Englich Cpelling Reformc,G Gordon Worley III,5mo
1905,Do universities have an incentive to ignore data ethics as more small sample bias is brought to light? Q,hatta_afiq,5mo
1906,Fiction: My alternate earth story.,Donald Hobson,5mo
1907,Consciousness: A Compression-Based Approach,interstice,5mo
1908,Pop Culture Alignment Research and Taxes,Jan,5mo
1909,Introducing Mnosis,Evenflair,5mo
1910,What recent academic areas of study have a sample size that is 'too small'? Q,hatta_afiq,5mo
1911,Clem's Memo,abstractapplic,5mo
1912,Contra Alexander on the Virtue of Silence,benjaminalt,5mo
1913,Did OpenAI let GPT out of the box?Q,ChristianKl,5mo
1914,Constraining narrow AI in a corporate settingQ,MaximumLiberty,5mo
1915,"Summary: ""How to Read Books and Write Essays"" by OSP's Blue",Pablo Repetto,5mo
1916,Everything I Need To Know About Takeoff Speeds I Learned From Air Conditioner Ratings On AmazonΩ,johnswentworth,5mo
1917,Convince me that humanity *isn’t* doomed by AGIQ,"Yitz, mukashi",5mo
1918,Some reasons why a predictor wants to be a consequentialistΩ,Lauro Langosco,5mo
1919,Why Go is a Better Game than Chess,monkymind,5mo
1920,How to become an AI safety researcher,peterbarnett,5mo
1921,Announcing the Forecasting Wiki ,nikos,5mo
1922,How path-dependent are human values?Q,Ege Erdil,5mo
1923,Pivotal acts from Math AIs,azsantosk,5mo
1924,Feature proposal: Close comment as resolved,Viliam,5mo
1925,Feature proposal: Shortform reset,Viliam,5mo
1926,Refine: An Incubator for Conceptual Alignment Research BetsΩ,adamShimi,5mo
1927,My least favorite thing,sudo -i,5mo
1928,Early 2022 Paper Round-upΩ,jsteinhardt,5mo
1929,Only Asking Real Questions,jefftk,5mo
1930,What is the most significant way you have changed your mind in the last year?Q,"ChristianKl, Quintin Pope",5mo
1931,Lies Told To Children,Eliezer Yudkowsky,5mo
1932,Features that make a report especially helpful to me,lukeprog,5mo
1933,Exploring toy neural nets under node removal. Section 1.,Donald Hobson,5mo
1934,Can someone explain to me why MIRI is so pessimistic of our chances of survival?Q,iamthouthouarti,5mo
1935,Redwood Research is hiring for several roles (Operations and Technical),"Jessica W, billzito",5mo
1936,Covid 4/14/22: China Stays the Course,Zvi,5mo
1937,Unchangeable Code possible ?Q,AntonTimmer,5mo
1938,Emacs Recentering With Context,jefftk,5mo
1939,Make a Movie Showing Alignment Failures,Logan Riggs,5mo
1940,"Summary: ""How to Do Research"" by OSP's Red",Pablo Repetto,5mo
1941,A Quick Guide to Confronting Doom,Ruby,5mo
1942,"Design, Implement and Verify",rwallace,5mo
1943,Takeoff speeds have a huge effect on what it means to work on AI x-riskΩ,Buck,5mo
1944,What to include in a guest lecture on existential risks from AI?QΩ,Aryeh Englander,5mo
1945,Common Knowledge is a Circle Game for Toddlers,ryan_b,5mo
1946,Another list of theories of impact for interpretabilityΩ,Beth Barnes,5mo
1947,The Cage of the Language,Martin Sustrik,5mo
1948,How dath ilan coordinates around solving alignment,Thomas Kwa,5mo
1949,What more compute does for brain-like models: response to Rohin,Nathan Helm-Burger,5mo
1950,“Fragility of Value” vs. LLMsQ,Not Relevant,5mo
1951,"Commensurable Scientific Paradigms; or, computable induction",samshap,5mo
1952,Convincing People of Alignment with Street Epistemology,Logan Riggs,5mo
1953,"What's a good probability distribution family (e.g. ""log-normal"") to use for AGI timelines?QΩ",David Scott Krueger (formerly: capybaralet),5mo
1954,The Peerless,carado,5mo
1955,Useful Vices for Wicked Problems,HoldenKarnofsky,5mo
1956,Genetic Enhancement: a Strategy for Long(ish) AGI Timeline Worlds,kman,5mo
1957,A Small Negative Result on DebateΩ,Sam Bowman,5mo
1958,Is technical AI alignment research a net positive?,cranberry_bear,5mo
1959,Reward model hacking as a challenge for reward learning,Erik Jenner,5mo
1960,How I use Anki: expanding the scope of SRS,TheMcDouglas,5mo
1961,Favorites & Performers,Soma,5mo
1962,A broad basin of attraction around human values?Ω,Wei_Dai,5mo
1963,The Platonist’s Dilemma: A Remix on the Prisoner's.,James Camacho,5mo
1964,Does the rationalist community have a membership funnel?Q,Alex_Altair,5mo
1965,US Taxes: Adjust Withholding When Donating?,jefftk,5mo
1966,Introducing Effective Self-Help,Ben Williamson,5mo
1967,Ukraine Post #10: Next Phase,Zvi,5mo
1968,"What is your advice for elder care, particularly taking care of dementia patients?Q","JohannWolfgang, cranberry_bear",5mo
1969,What do you think will most probably happen to our consciousness when our simulation ends?Q,ArtMi,5mo
1970,"AI governance student hackathon on Saturday, April 23: register now!",Michael Chen,5mo
1971,Rambling thoughts on having multiple selves,cranberry_bear,5mo
1972,An AI-in-a-box success model,azsantosk,5mo
1973,The Regulatory Option: A response to near 0% survival odds,Matthew Lowenstein,5mo
1974,The Efficient LessWrong Hypothesis - Stock Investing Competition,ViktorThink,5mo
1975,Review: Structure and Interpretation of Computer Programs,LRudL,5mo
1976,The Glitch And Notes On Digital Beings,Ghvst,5mo
1977,Underappreciated content on LessWrongQ,Ege Erdil,5mo
1978,Editing Advice for LessWrong Users,JustisMills,5mo
1979,Post-history is written by the martyrs,Veedrac,5mo
1980,What can people not smart/technical enough for AI research/AI risk work do to reduce AI-risk/maximize AI safety? (which is most people?),Alex K. Chen,5mo
1981,Goodhart's Law Causal Diagrams,"JustinShovelain, Jeremy Gillen",5mo
1982,Is it time to start thinking about what AI Friendliness means?,ZT5,5mo
1983,Is there an equivalent of the CDF for grading predictions?Q,Optimization Process,5mo
1984,We should stop being so confident that AI coordination is unlikely,Trevor1,5mo
1985,What Chords Do You Need?,jefftk,5mo
1986,China Covid Update #1,Zvi,5mo
1987,"Convince me that humanity is as doomed by AGI as Yudkowsky et al., seems to believeQ","Yitz, Eliezer Yudkowsky",5mo
1988,Emotionally Confronting a Probably-Doomed World: Against Motivation Via Dignity Points,TurnTrout,5mo
1989,Does non-access to outputs prevent recursive self-improvement?Q,Gunnar_Zarncke,5mo
1990,Finally Entering Alignment,Ulisse Mini,5mo
1991,Is Fisherian Runaway Gradient Hacking?,Ryan Kidd,5mo
1992,Worse than an unaligned AGI,shminux,6mo
1993,Time-Time Tradeoffs,Akash,6mo
1994,A Brief Excursion Into Molecular Neuroscience,Jan,5mo
1995,Boston Contra: Fully Gender-Free,jefftk,6mo
1996,Hidden comments settings not working?Q,TLW,6mo
1997,Godshatter Versus Legibility: A Fundamentally Different Approach To AI Alignment,LukeOnline,6mo
1998,A concrete bet offer to those with short AI timelines,"Matthew Barnett, Tamay",6mo
1999,New: use The Nonlinear Library to listen to the top LessWrong posts of all time,KatWoods,6mo
2000,140 Cognitive Biases You Should Know,André Ferretti,6mo
2001,"
Strategies for keeping AIs narrow in the short term",Rossin,6mo
2002,Hyperbolic takeoff,Ege Erdil,6mo
2003,Elicit: Language Models as Research AssistantsΩ,"stuhlmueller, jungofthewon",6mo
2004,"AMA Conjecture, A New Alignment StartupΩ",adamShimi,6mo
2005,What advice do you have for someone struggling to detach their grim-o-meter?Q,Zorger74,6mo
2006,Can AI systems have extremely impressive outputs and also not need to be aligned because they aren't general enough or something?Q,WilliamKiely,6mo
2007,Buy-in Before Randomization,jefftk,6mo
2008,Why Instrumental Goals are not a big AI Safety Problem,Jonathan Paulson,6mo
2009,Emergent Ventures/Schmidt (new grantor for individual researchers),gwern,6mo
2010,A method of writing content easily with little anxiety,jessicata,6mo
2011,Roam Research Mobile is Out!,Logan Riggs,6mo
2012,Progress Report 4: logit lens redux,Nathan Helm-Burger,6mo
2013,What would the creation of aligned AGI look like for us?Q,Perhaps,6mo
2014,Convincing All Capability Researchers,Logan Riggs,6mo
2015,Language Model Tools for Alignment ResearchΩ,Logan Riggs,6mo
2016,Takeaways From 3 Years Working In Machine Learning,George3d6,6mo
2017,"AIs should learn human preferences, not biasesΩ",Stuart_Armstrong,6mo
2018,Different perspectives on concept extrapolationΩ,Stuart_Armstrong,6mo
2019,Is there a possibility that the upcoming scaling of data in language models causes A.G.I.?Q,ArtMi,6mo
2020,Good Heart Week Is Over!,Ben Pace,6mo
2021,Good Heart Donation Lottery Winner,G Gordon Worley III,6mo
2022,If Dumbledore Was Named Eldore,TourmalineCupcakes,6mo
2023,[RETRACTED] It's time for EA leadership to pull the short-timelines fire alarm.,Not Relevant,6mo
2024,"We Are Conjecture, A New Alignment Research StartupΩ",Connor Leahy,6mo
2025,The Rationalist-Etcetera Diaspora: A SPREADSHEET!!,Amelia Bedelia,6mo
2026,DeepMind: The Podcast - Excerpts on AGI,WilliamKiely,6mo
2027,Convincing Your Brain That Humanity is Evil is Easy,Johannes C. Mayer,6mo
2028,The Explanatory Gap of AI,David Valdman,6mo
2029,Believable near-term AI disaster,Dagon,6mo
2030,List of concrete hypotheticals for AI takeover?Q,Yitz,6mo
2031,"What if ""friendly/unfriendly"" GAI isn't a thing?",homunq,6mo
2032,"Productive Mistakes, Not Perfect AnswersΩ",adamShimi,6mo
2033,Duncan Sabien On Writing,lynettebye,6mo
2034,[ASoT] Some thoughts about imperfect world modelingΩ,leogao,6mo
2035,How  BoMAI Might failΩ,Donald Hobson,6mo
2036,Is GPT3 a Good Rationalist? - InstructGPT3 [2/2],WayZ,6mo
2037,I discovered LessWrong... during Good Heart Week,identity.key,6mo
2038,Research agenda - Building a multi-modal chess-language model,p.b.,6mo
2039,Playing with DALL·E 2,Dave Orr,6mo
2040,Covid 4/7/22: Opening Day,Zvi,6mo
2041,Predicting a global catastrophe: the Ukrainian model,RomanS,6mo
2042,Control the Density of Novelty in Your Writing,En Kepeig,6mo
2043,Elasticity of Wheat Supply?Q,johnswentworth,6mo
2044,The Debtors' Revolt,Benquo,6mo
